Ohringen,Bad.Lippspringe,Eberbach.Neckar,Ebersberg.Halbing,Ebrach,Eichstatt.Landershofen,Miltenberg,Ellwangen.Rindelbach,Eppingen,Mohrendorf.Kleinseebach,Eutin,Geisenheim,Gilserberg.Moischeid,Gluckstadt,Gossweinstein,Hechingen,Weddingstedt,Kr.Dithmarschen.Helse,Niederworresbach,Hildesheim,Hollenstein.Kraftwerk,Konigsmoor,Kronach,Bad.Lauchstadt,Lensahn,Lingen,Luchow,Heinersreuth.Vollhof,Mayen,Melle
71,55,26,0,70,0,114,131,2,38,33,31,42,39,45,79,40,14,15,138,0,54,95,94,30,46,325,21,3,21
171,0,144,83,204,14,210,151,105,101,0,25,141,0,88,101,23,11,1,92,64,21,176,245,0,8,67,81,0,138
0,0,0,0,0,0,0,0,0,0,34,3,0,45,0,0,20,10,27,0,0,40,0,0,50,10,17,0,13,34
18,0,21,113,3,58,21,16,28,21,19,16,0,26,37,17,0,13,9,0,19,15,22,24,52,12,11,29,0,0
0,0,0,60,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,5,2,0,0,0,0
6,0,105,46,42,0,0,0,7,0,0,1,0,0,0,0,17,4,0,0,25,0,21,2,0,0,0,5,0,0
260,0,13,91,73,159,149,119,194,197,102,0,16,110,50,161,48,57,8,21,60,10,215,0,106,0,0,62,0,0
135,0,2,30,11,201,0,153,27,104,0,0,0,0,25,132,0,0,0,0,138,0,0,7,0,0,0,2,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
91,0,0,78,130,18,0,133,0,14,0,0,0,0,80,11,0,0,0,0,6,0,49,7,0,0,0,46,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2,68,96,0,0,0,12,0,31,0,0,2,0,0,0,30,0,0,2,57,0,0,0,0,0,30,0,0,43,25
104,0,0,39,41,36,97,196,11,124,0,0,81,8,48,60,1,0,0,0,102,0,13,0,3,0,0,15,400,0
1,136,0,0,7,173,0,2,0,6,0,0,48,38,29,0,8,7,0,12,7,1,0,0,0,46,110,9,0,128
150,143,205,64,41,0,245,72,216,72,36,96,192,374,0,207,572,450,95,46,0,561,0,26,61,119,262,0,55,157
70,112,58,51,262,103,76,91,38,143,433,53,68,252,90,114,535,535,21,342,115,364,83,235,459,30,0,62,108,80
2,0,19,0,2,48,0,32,75,3,496,32,0,498,9,0,703,515,2,8,57,96,28,27,511,32,56,0,0,26
2,0,0,2,0,0,0,0,0,1,125,0,0,42,4,7,46,50,0,0,0,71,0,0,148,29,0,0,0,0
0,12,11,9,0,0,0,0,0,8,6,0,26,12,2,0,37,6,0,0,0,26,0,12,0,7,21,1,0,0
0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,30,3,6,0,0,0,0,0,0
95,0,4,0,3,19,14,70,52,151,18,0,0,9,20,48,3,0,15,0,0,102,2,0,13,34,0,6,0,72
215,22,86,165,148,123,103,160,148,174,0,10,291,0,52,236,110,5,0,70,157,3,151,177,0,8,22,147,0,3
35,68,122,0,11,0,61,18,61,0,86,50,42,56,3,40,0,96,89,78,0,0,8,2,37,62,290,1,45,56
90,31,145,66,41,30,73,17,11,14,96,38,114,116,10,42,198,1,142,13,16,134,22,45,55,99,20,5,0,53
42,0,110,0,38,2,38,21,7,1,90,48,62,52,36,0,38,175,20,23,5,53,101,20,96,186,125,69,118,68
153,185,136,0,114,95,166,158,18,100,52,57,14,68,168,0,228,35,93,77,59,34,167,18,30,152,147,57,37,276
355,15,355,31,180,38,169,181,371,165,136,32,12,76,210,56,148,60,85,10,134,40,102,51,83,56,23,91,0,73
